OBJECTID,AV_LEGEND,DEP_ID,PROPERTY,SHAPE,SHAPE.area,SHAPE.len
2,State Park Trail,2,Airline State Park Trail (North Trail),"(41.99296041100007, -71.84349132999995)",476700.271588200004771,
3,State Park Trail,3,Airline State Park Trail (Northern Section),,1467091.468283110065386,
4,State Park Trail,4,Airline State Park Trail (Southern Section),"(41.714104536000036, -72.23694494499995)",1497278.233525164891034,
238,State Park Trail,107,Connecticut Valley Railroad State Park Trail,"(41.38490614500006, -72.42630796199995)",42671.203527865000069,
239,State Park Trail,107,Connecticut Valley Railroad State Park Trail,,1024661.858223470044322,
293,State Park Trail,150,Farmington Canal Line State Park Trail,,65315.391538470001251,
294,State Park Trail,150,Farmington Canal Line State Park Trail,"(41.42472470400003, -72.90676662999994)",237571.610952860006364,
295,State Park Trail,150,Farmington Canal Line State Park Trail,"(41.521757069000046, -72.91059166699995)",137395.600801950000459,
296,State Park Trail,150,Farmington Canal Line State Park Trail,"(41.530224642000064, -72.90734785099994)",27095.461375934999523,
297,State Park Trail,150,Farmington Canal Line State Park Trail,"(41.535783637000065, -72.90247913399998)",37054.206578999997873,
298,State Park Trail,150,Farmington Canal Line State Park Trail,"(41.551633836000065, -72.90113898099997)",38834.697942794999108,
299,State Park Trail,150,Farmington Canal Line State Park Trail,"(41.561664214000075, -72.90313661699997)",60383.457517260001623,
300,State Park Trail,150,Farmington Canal Line State Park Trail,"(41.566408730000035, -72.90214731199995)",17830.321778174999054,
301,State Park Trail,150,Farmington Canal Line State Park Trail,"(41.572915296000076, -72.90015865099997)",14931.034680394999668,
302,State Park Trail,150,Farmington Canal Line State Park Trail,"(41.57650088100007, -72.89907901499998)",4816.532571374999861,
303,State Park Trail,150,Farmington Canal Line State Park Trail,"(41.57865153300003, -72.89844284199995)",30954.7909816149986,
304,State Park Trail,150,Farmington Canal Line State Park Trail,"(41.59139746900007, -72.88938527699997)",16634.953990674999659,
305,State Park Trail,150,Farmington Canal Line State Park Trail,"(41.59701937300008, -72.88547026699996)",26586.796301865000714,
306,State Park Trail,150,Farmington Canal Line State Park Trail,"(41.60005075000004, -72.88337367999998)",3678.134120690000145,
307,State Park Trail,150,Farmington Canal Line State Park Trail,"(41.603535488000034, -72.88095568199998)",10506.62248146499951,
308,State Park Trail,150,Farmington Canal Line State Park Trail,"(41.60580190100006, -72.87980892399997)",17579.47114716500073,
309,State Park Trail,150,Farmington Canal Line State Park Trail,"(41.61064976200004, -72.87830609599996)",8935.048461680000401,
420,State Park Trail,220,Hop River State Park Trail,"(41.826339003000044, -72.45263652799997)",882076.131585379946046,
496,State Park Trail,264,Larkin State Park Trail,"(41.48844429800005, -73.11081791499998)",607787.332605805015191,
497,State Park Trail,264,Larkin State Park Trail,"(41.50226248700005, -73.09670259599994)",32403.464963949998491,
498,State Park Trail,264,Larkin State Park Trail,"(41.512513014000035, -73.08974117299994)",109763.385570009995718,
499,State Park Trail,264,Larkin State Park Trail,"(41.51828968700005, -73.05873333699998)",34717.766517124997335,
599,State Park Trail,307,Moosup Valley State Park Trail,"(41.72255868900004, -71.85285945699997)",447993.938958670012653,
